Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length
360	-433.8972	-445.5898	11.69265	0.026782	0.0686456	0.0492841	0.0206039	0.00371312	0.0120496	0.0150193	0.123665	0.033145	0.0135214	0.0200371	0.0947021	0.0293116	0.0780194	0.0743033	0.158048	0.406675	0.755253	1.32406	2.45896	6.32717	1.333956	0.0404073	0.103569	0.0743572	0.0310861	0.00560215	0.0181797	0.0226603	0.186579	0.0500073	0.0204004	0.0302309	0.142881	0.0442238	0.117711	0.112105	0.6628022
396	-426.7822	-438.4087	11.62645	0.0316082	0.00515441	0.0270599	0.0140905	0.000564977	0.0233672	0.0206655	0.0549425	0.0290581	0.0138201	0.00795547	0.063865	0.0105937	0.0285478	0.0822371	0.138975	0.381951	0.740618	1.35022	2.61813	7.19554	1.426948	0.0764349	0.0124644	0.0654363	0.0340737	0.00136623	0.0565066	0.0499734	0.132862	0.0702684	0.0334197	0.0192379	0.154438	0.0256178	0.0690342	0.198866	0.4135305
432	-430.7745	-442.1926	11.41811	0.045371	0.0280047	0.116886	0.0216918	0.00897845	0.0175582	0.00410585	0.1501	0.156022	0.110025	0.0323508	0.315812	0.153599	0.110544	0.408958	0.497954	0.711735	0.899345	1.11192	1.40502	2.00822	0.5041573	0.0270064	0.0166694	0.0695749	0.0129117	0.00534429	0.0104513	0.00244395	0.0893449	0.0928702	0.0654906	0.0192563	0.187982	0.0914276	0.0657998	0.243426	1.680006
468	-426.2444	-438.1744	11.92996	0.0703738	0.0476848	0.13088	0.0209493	0.00312872	0.0294663	0.0108395	0.135354	0.089675	0.0530987	0.0135568	0.292546	0.174066	0.0297062	0.31339	0.61541	0.789178	0.928796	1.07666	1.26714	1.62493	0.3510261	0.0497441	0.0337063	0.0925133	0.0148081	0.00221156	0.0208284	0.00766197	0.0956758	0.0633873	0.0375331	0.00958268	0.206788	0.12304	0.020998	0.221522	1.414715
504	-426.2503	-438.0713	11.82103	0.164647	0.045081	0.0584251	0.0018043	0.00287518	0.015178	0.00908241	0.13967	0.0956811	0.00542215	0.00704504	0.218889	0.0825265	0.0437255	0.166371	0.294271	0.550689	0.830171	1.20457	1.81591	3.39823	0.8844977	0.155853	0.0426732	0.0553046	0.00170794	0.00272161	0.0143674	0.00859733	0.132211	0.0905708	0.00513256	0.00666876	0.207198	0.0781188	0.0413902	0.157485	1.056423
540	-426.1567	-438.0367	11.87999	0.0931833	0.0143213	0.0983029	0.0063384	0.0209907	0.0233649	0.00771014	0.0613203	0.0548497	0.0426068	0.0191046	0.128451	0.102893	0.0600013	0.19682	0.268531	0.526647	0.818689	1.22146	1.89881	3.72396	0.9506827	0.100169	0.0153949	0.105673	0.00681359	0.0225644	0.0251166	0.00828817	0.0659175	0.0589618	0.0458011	0.0205368	0.138081	0.110607	0.0644996	0.211575	0.9302586
576	-431.0945	-442.1321	11.03758	0.0381684	0.0286744	0.0209617	0.0243119	0.00256071	0.00458704	0.00678918	0.000223545	0.0158801	0.00932864	0.0612729	0.00347886	0.0114009	0.00965006	0.0506167	0.0717503	0.276683	0.669744	1.49311	3.61425	13.9372	1.904971	0.132573	0.0995968	0.0728077	0.0844441	0.00889427	0.0159325	0.0235813	0.000776454	0.0551575	0.0324018	0.212823	0.0120833	0.0395995	0.0335182	0.17581	0.2879052
612	-428.7631	-440.5241	11.76105	0.0230302	0.0207515	0.0574185	0.00164674	0.000903687	0.010876	0.00167137	0.0872186	0.0619289	0.008467	0.0236406	0.120746	0.0420652	0.0848968	0.145601	0.177288	0.430109	0.76857	1.30112	2.32499	5.64055	1.250896	0.0333354	0.030037	0.0831113	0.0023836	0.00130806	0.0157426	0.00241925	0.126246	0.08964	0.0122557	0.0342189	0.174776	0.060888	0.122885	0.210753	0.6908622
648	-428.8336	-439.9719	11.13831	0.0315459	0.0068617	0.0419965	0.00559782	0.00459231	0.00106985	0.000392544	0.0217496	0.0117544	0.00659006	0.0421834	0.000912233	0.0222333	0.0155125	0.0552836	0.0861304	0.302464	0.68862	1.45218	3.30618	11.6103	1.772888	0.117588	0.025577	0.156542	0.0208659	0.0171179	0.00398788	0.00146321	0.0810719	0.0438147	0.0245645	0.157239	0.00340035	0.0828749	0.057823	0.20607	0.2682758
684	-427.418	-439.2229	11.80496	0.0543701	0.00735286	0.0381077	0.0174404	0.0158151	0.00940389	0.00896722	0.0470653	0.0110175	0.0406543	0.113661	0.0312957	0.0162363	0.0472322	0.119776	0.17647	0.42914	0.768029	1.30203	2.33024	5.6667	1.25424	0.0940017	0.0127125	0.0658852	0.0301531	0.027343	0.0162586	0.0155036	0.0813721	0.0190483	0.0702881	0.196511	0.0541078	0.0280713	0.0816608	0.207083	0.5783953
720	-429.9709	-441.9188	11.9479	0.161992	0.0248779	0.0790171	0.0905039	0.00908803	0.0318344	0.000333261	0.170829	0.00366926	0.0533571	0.28507	0.0760926	0.0383992	0.0848781	0.26024	0.582981	0.768615	0.921177	1.08557	1.30104	1.71532	0.390169	0.118226	0.0181566	0.0576691	0.0660524	0.00663272	0.0232337	0.000243224	0.124676	0.00267793	0.0389416	0.208053	0.0555347	0.0280249	0.0619466	0.189931	1.370182
756	-432.0069	-444.0226	12.01578	0.139906	0.039314	0.0662331	0.10535	0.00494745	0.0290514	0.00770135	0.0937775	0.000311649	0.0572989	0.147643	0.0811624	0.029715	0.101153	0.171536	0.39594	0.636448	0.868516	1.15139	1.57122	2.52564	0.6699182	0.130133	0.0365678	0.0616064	0.0979905	0.00460185	0.0270221	0.00716338	0.0872267	0.000289879	0.0532963	0.13733	0.0754929	0.0276393	0.0940871	0.159554	1.0751
792	-427.9586	-439.6403	11.68168	0.042363	0.0418516	0.073886	0.00812092	0.00160222	0.0177603	0.00753648	0.0225072	0.0245438	0.0224983	0.102624	0.0178324	0.0196853	0.0396907	0.0876841	0.146888	0.392408	0.746885	1.33889	2.54837	6.8079	1.386907	0.079902	0.0789376	0.139358	0.0153171	0.003022	0.0334981	0.0142148	0.0424515	0.0462929	0.0424347	0.193562	0.0336343	0.037129	0.0748617	0.165383	0.5301865
828	-423.0178	-434.5582	11.54037	0.0404065	0.0123098	0.0116177	0.00246364	0.000862162	0.0124202	0.00136326	0.033223	0.0241723	0.0161901	0.0112491	0.0189055	0.0868522	0.0846325	0.0488758	0.12398	0.361264	0.727863	1.37389	2.76806	8.06583	1.509505	0.0996354	0.0303539	0.0286472	0.0060749	0.00212594	0.0306259	0.00336156	0.0819222	0.0596048	0.039922	0.0277384	0.0466176	0.214162	0.208689	0.120519	0.4055438
864	-425.8534	-437.8103	11.95686	0.0327941	0.0178999	0.0351876	0.0143391	0.00146784	0.01634	0.0067688	0.0341984	0.0494297	0.0337941	0.130836	0.026353	0.030079	0.0505074	0.115385	0.219244	0.477055	0.793815	1.25974	2.09619	4.56113	1.097309	0.0550809	0.0300647	0.0591011	0.024084	0.00246538	0.0274446	0.0113689	0.0574396	0.0830222	0.0567607	0.219752	0.0442625	0.0505206	0.0848323	0.1938	0.5953797
900	-425.373	-437.2823	11.90925	0.067065	0.0158535	0.0673038	0.00724197	0.00340816	0.0227535	0.020819	0.183594	0.0859643	0.0185724	0.204234	0.0299461	0.0621364	0.161371	0.176416	0.369365	0.615244	0.859383	1.16363	1.62537	2.70735	0.7201545	0.0595244	0.014071	0.0597364	0.00642771	0.00302496	0.0201952	0.0184782	0.162952	0.0762988	0.0164842	0.181271	0.0265791	0.0551501	0.143227	0.156581	1.126679
936	-424.3795	-436.2796	11.90017	0.141047	0.0239906	0.0507263	0.0291289	0.00118785	0.0211937	0.0173236	0.0750358	0.0441827	0.0421124	0.173205	0.0335743	0.0423933	0.123096	0.157357	0.293069	0.549592	0.829654	1.20532	1.81953	3.41216	0.887456	0.144581	0.0245918	0.0519974	0.0298588	0.00121761	0.0217248	0.0177577	0.076916	0.0452898	0.0431676	0.177546	0.0344156	0.0434556	0.126181	0.1613	0.9755552
972	-426.6995	-438.7248	12.02529	0.0940902	0.0297791	0.075105	0.0133088	0.00314959	0.0147926	0.0193163	0.0885292	0.0383777	0.0482926	0.174938	0.00446392	0.0710287	0.133484	0.168295	0.34909	0.598535	0.852032	1.17366	1.67075	2.86459	0.7609753	0.0963101	0.0304817	0.0768769	0.0136228	0.0032239	0.0151417	0.0197721	0.0906179	0.0392832	0.049432	0.179066	0.00456924	0.0727044	0.136633	0.172265	0.9769508
1008	-430.5234	-442.1959	11.6725	0.198252	0.0306513	0.0658644	0.0409453	0.00243444	0.0107148	0.00360306	0.0384997	0.0733628	0.0886211	0.249895	0.0631512	0.0386036	0.0493942	0.144061	0.254877	0.513412	0.812214	1.2312	1.94776	3.92347	0.9884177	0.180549	0.0279142	0.0599828	0.037289	0.00221705	0.00975803	0.00328131	0.0350618	0.0668116	0.0807074	0.22758	0.0575119	0.0351564	0.0449834	0.131197	1.098054
1044	-428.6248	-440.169	11.54411	0.0287478	0.0202752	0.0214774	0.0121348	0.00405884	0.00984254	0.000806395	0.0283942	0.00890535	0.0261485	0.0910461	0.000415923	0.0323032	0.0493929	0.0624181	0.125407	0.363286	0.729131	1.37149	2.75265	7.97404	1.501229	0.0725282	0.0511527	0.0541857	0.030615	0.0102401	0.0248319	0.00203446	0.0716361	0.0224674	0.0659704	0.229701	0.00104934	0.0814981	0.124614	0.157475	0.3963674
1080	-427.9252	-439.8694	11.94414	0.0318634	0.0671727	0.0400354	0.00793859	0.00337169	0.0266435	0.00442274	0.0813681	0.0409905	0.0240888	0.173476	0.00589532	0.0231122	0.115587	0.112421	0.241963	0.500557	0.805814	1.24098	1.99778	4.13286	1.026012	0.0420147	0.0885731	0.0527902	0.0104677	0.00444587	0.0351318	0.00583178	0.107291	0.0540496	0.0317632	0.228744	0.0077735	0.0304755	0.152411	0.148237	0.7583869
1116	-429.0426	-440.3138	11.27124	0.0994613	0.0728935	0.0469149	0.0163433	0.0201916	0.0390376	0.0486637	0.170409	0.0580049	0.0525616	0.375393	0.0133031	0.0823773	0.0899075	0.335095	0.300144	0.556022	0.832671	1.20095	1.79849	3.33174	0.8702091	0.0654111	0.0479387	0.0308538	0.0107482	0.0132791	0.0256732	0.0320038	0.11207	0.0381471	0.0345673	0.246879	0.00874885	0.0541757	0.059128	0.220376	1.520557
1152	-426.8853	-438.7419	11.8567	0.0614466	0.0746231	0.0348081	0.0110847	0.00817049	0.023572	0.00231506	0.0194397	0.0207696	0.0174919	0.158462	0.0181397	0.045596	0.0709142	0.154871	0.207464	0.464377	0.787172	1.27037	2.15342	4.82012	1.137242	0.0851409	0.103398	0.0482304	0.015359	0.0113211	0.0326616	0.00320777	0.0269358	0.0287785	0.024237	0.219566	0.0251345	0.0631782	0.0982593	0.214591	0.7217043
1188	-424.5438	-436.1016	11.5578	0.0592979	0.0141501	0.0298025	0.00636037	0.00372814	0.00422513	0.00606157	0.0448861	0.0138348	0.0131503	0.0946952	0.00370272	0.0198091	0.044354	0.114654	0.123725	0.360902	0.727635	1.37431	2.77083	8.08242	1.510991	0.125442	0.0299339	0.0630458	0.0134551	0.00788671	0.00893805	0.012823	0.0949543	0.0292669	0.0278189	0.200323	0.00783292	0.0419051	0.0938287	0.242546	0.4727122
1224	-425.337	-437.0527	11.71569	0.129763	0.00265381	0.0442697	0.0121066	0.000763802	0.018563	0.00294445	0.0555084	0.0298315	0.0154748	0.118245	0.0421178	0.0563474	0.0786192	0.119683	0.171466	0.423162	0.764675	1.30774	2.36316	5.83206	1.275038	0.178518	0.00365091	0.0609027	0.0166553	0.00105078	0.0255375	0.00405074	0.0763639	0.0410398	0.021289	0.162672	0.0579423	0.0775182	0.108158	0.16465	0.7268923
1260	-424.7355	-436.6087	11.87326	0.13108	0.0463421	0.0922863	0.0131064	0.000796236	0.015491	0.00298886	0.100647	0.0970472	0.0436423	0.183493	0.0331546	0.0312937	0.0790536	0.210559	0.327954	0.580578	0.843974	1.18487	1.72242	3.04921	0.8061372	0.12126	0.0428703	0.0853727	0.0121246	0.000736586	0.0143305	0.00276495	0.0931069	0.0897769	0.0403729	0.169747	0.0306708	0.0289493	0.0731313	0.194785	1.080982
1296	-429.7685	-441.3961	11.6276	0.10754	0.0304107	0.0326187	0.000541672	0.0279052	0.0097731	0.0541708	0.086002	0.0111065	0.208389	0.0514467	0.133667	0.00929785	0.0191097	0.243909	0.215529	0.473096	0.791754	1.26302	2.11374	4.63975	1.109665	0.104826	0.0296434	0.0317956	0.000528003	0.027201	0.00952648	0.0528038	0.0838318	0.0108262	0.203131	0.0501485	0.130294	0.00906322	0.0186274	0.237754	1.025887
1332	-432.7192	-444.5432	11.82401	0.0726383	0.0365579	0.0591889	0.00013851	0.0122086	0.0272868	0.0171429	0.0745926	0.0313275	0.125386	0.0312424	0.044291	0.0408911	0.0148481	0.114896	0.195202	0.450783	0.77991	1.2822	2.21836	5.12289	1.181291	0.10338	0.0520297	0.0842383	0.000197129	0.0173755	0.0388348	0.024398	0.106161	0.0445856	0.178451	0.0444646	0.0630355	0.0581967	0.021132	0.163521	0.7026364
1368	-429.9108	-441.7975	11.88673	0.154545	0.0866892	0.127481	0.00529064	0.0111257	0.0436498	0.00283261	0.10492	0.0412011	0.406739	0.0854486	0.142932	0.0564734	0.0357714	0.24645	0.744937	0.866229	0.956186	1.04582	1.15443	1.34239	0.2129113	0.0996071	0.0558726	0.0821639	0.0034099	0.00717069	0.028133	0.00182567	0.067623	0.0265548	0.26215	0.055073	0.0921222	0.036398	0.0230553	0.158841	1.55155
1404	-427.1343	-439.0488	11.9145	0.108718	0.0281391	0.0685871	0.00248083	0.00183727	0.0165383	0.0175431	0.133819	0.0749272	0.0273005	0.115925	0.0508913	0.00608614	0.071181	0.109186	0.250779	0.509369	0.810214	1.23424	1.96321	3.98758	1.000137	0.130488	0.0337739	0.0823216	0.00297761	0.00220518	0.0198501	0.0210561	0.160616	0.0899313	0.0327674	0.139139	0.0610823	0.00730489	0.085435	0.131051	0.8331598
1440	-429.3075	-441.3787	12.07118	0.0592225	0.00966172	0.072629	0.00232772	0.00521985	0.0208371	0.0439659	0.112784	0.0316015	0.0334458	0.0859361	0.0583548	0.0120707	0.0803753	0.120738	0.285973	0.543061	0.826566	1.20982	1.84142	3.49683	0.9051797	0.0790508	0.0128966	0.096946	0.00310706	0.00696751	0.0278136	0.0586862	0.150545	0.0421821	0.0446438	0.114709	0.0778926	0.0161121	0.107286	0.161162	0.7491698
1476	-429.027	-440.9184	11.89133	0.057891	0.0104825	0.0883615	0.0532701	0.0230695	0.00528445	0.0357267	0.131492	0.0852512	0.0773305	0.257481	0.0297166	0.0366987	0.124346	0.161055	0.390133	0.631879	0.866565	1.15398	1.58258	2.56323	0.6806004	0.0491661	0.00890269	0.0750444	0.0452417	0.0195926	0.00448802	0.0303422	0.111675	0.0724029	0.0656759	0.218675	0.0252379	0.0311678	0.105606	0.136782	1.177456
1512	-427.8126	-439.5707	11.75811	0.0288186	0.0341785	0.114602	0.00314218	0.00928886	0.008265	0.0318247	0.097157	0.0724361	0.0452152	0.177933	0.0389798	0.00359345	0.0933191	0.190326	0.23247	0.49088	0.800922	1.24856	2.03716	4.30163	1.054954	0.0303649	0.0360123	0.12075	0.00331077	0.00978724	0.00870845	0.0335322	0.10237	0.0763225	0.0476412	0.18748	0.0410712	0.00378625	0.098326	0.200537	0.9490785
1548	-429.1117	-440.5367	11.42506	0.0429954	0.014371	0.0282257	0.023097	0.00458131	0.00694262	0.00555485	0.0154727	0.0231839	0.0215392	0.0597402	0.0315619	0.0127344	0.02131	0.0549591	0.109168	0.339529	0.713908	1.40074	2.94525	9.16017	1.6015	0.117387	0.0392362	0.0770627	0.0630601	0.012508	0.0189549	0.015166	0.0422442	0.0632975	0.0588071	0.163105	0.0861713	0.0347678	0.0581813	0.150051	0.3662693
1584	-430.3345	-441.7216	11.38714	0.0260418	0.000771563	0.0126442	0.0137789	0.00237364	0.0183755	0.0017261	0.0589973	0.0522843	0.0447828	0.00546025	0.0217275	0.0802246	0.0531292	0.122197	0.0975604	0.321415	0.701801	1.42491	3.11124	10.2501	1.682786	0.0506142	0.00149959	0.0245751	0.0267804	0.00461336	0.0357142	0.00335481	0.114666	0.101619	0.087039	0.0106124	0.042229	0.155923	0.103261	0.237499	0.5145146
1620	-427.2211	-439.0691	11.84803	0.0669156	0.000191611	0.0116077	0.0263093	0.00519152	0.0125483	0.00022173	0.071719	0.0600534	0.00642543	0.0557527	0.031304	0.163901	0.0868822	0.158206	0.211616	0.468887	0.789549	1.26655	2.13271	4.72554	1.122913	0.088369	0.000253043	0.0153291	0.0347441	0.00685595	0.0165713	0.000292818	0.0947124	0.0793067	0.00848544	0.0736272	0.0413401	0.216448	0.114737	0.208928	0.7572295
1656	-430.7344	-442.5398	11.80544	0.105968	0.00128828	0.0950248	0.0358693	0.0126343	0.0137886	0.0181464	0.0311574	0.0254565	0.0361806	0.093618	0.046514	0.21471	0.103374	0.205056	0.280743	0.538194	0.824248	1.21323	1.85807	3.56198	0.9185266	0.102012	0.00124018	0.0914768	0.0345301	0.0121625	0.0132738	0.0174688	0.029994	0.024506	0.0348297	0.0901225	0.0447772	0.206693	0.0995141	0.1974	1.038786
1692	-427.2854	-438.8073	11.52195	0.0176592	0.000918531	0.0117468	0.000126427	0.00717488	0.000764552	0.0225429	0.03924	0.0372812	0.0151847	0.0148006	0.0172262	0.0970655	0.0466712	0.1087	0.118902	0.353971	0.723247	1.38265	2.82509	8.41026	1.539741	0.0404006	0.00210141	0.0268742	0.000289238	0.0164146	0.00174914	0.0515734	0.0897729	0.0852915	0.0347395	0.0338607	0.0394099	0.222066	0.106774	0.248683	0.4371028
1728	-424.4234	-435.4976	11.07422	0.0239952	0.00166175	0.00954777	5.24538e-05	0.00186364	0.00300371	0.00648203	0.0254604	0.0188402	0.0118456	0.00823699	0.00449461	0.0391063	0.0241591	0.0563008	0.0863305	0.302806	0.688863	1.45167	3.30244	11.5834	1.771209	0.102085	0.00706976	0.0406201	0.00022316	0.00792868	0.012779	0.0275772	0.108319	0.0801539	0.050396	0.0350435	0.0191219	0.166374	0.102783	0.239526	0.2350506
1764	-423.6572	-435.0669	11.40975	0.0498513	0.00475866	0.0267185	0.0027952	0.00445077	0.00490139	0.000832287	0.0450745	0.0178525	0.016148	0.0216189	0.00316712	0.0694131	0.0295229	0.0753673	0.106235	0.335049	0.710956	1.40656	2.98464	9.4131	1.621195	0.133839	0.0127759	0.0717327	0.00750446	0.0119493	0.0131591	0.00223449	0.121014	0.0479297	0.0433535	0.0580416	0.00850296	0.186358	0.0792621	0.202343	0.3724724
1800	-431.8815	-443.6439	11.76247	0.13199	0.00703175	0.0293716	0.00477431	0.00693121	0.0358229	0.0556467	0.124005	0.0984786	0.0782818	0.0263626	0.17278	0.278135	0.179684	0.20534	0.505936	0.717277	0.901523	1.10923	1.39416	1.97653	0.492659	0.0920022	0.00490142	0.0204732	0.0033279	0.00483134	0.0249701	0.0387881	0.0864367	0.0686437	0.0545657	0.0183758	0.120435	0.193872	0.125247	0.14313	1.434635
1836	-426.8198	-438.6628	11.843	0.142527	0.0354513	0.146879	0.0227851	0.0123974	0.0089198	0.0174459	0.115365	0.0313206	0.0425346	0.173599	0.150499	0.061044	0.0370679	0.303208	0.447399	0.675528	0.884814	1.13018	1.48032	2.23514	0.5815674	0.109548	0.0272483	0.112893	0.0175129	0.00952883	0.00685588	0.0134091	0.0886712	0.0240735	0.0326927	0.133431	0.115676	0.0469193	0.0284909	0.23305	1.301044
1872	-430.4439	-442.4136	11.9697	0.129243	0.0496414	0.0454885	0.0225395	0.0149009	0.0145953	0.0160389	0.109379	0.172123	0.05415	0.298624	0.180362	0.0158224	0.080975	0.278993	0.735612	0.860923	0.954355	1.04783	1.16154	1.35941	0.2220197	0.0871567	0.0334765	0.0306759	0.0151998	0.0100486	0.00984255	0.0108161	0.0737616	0.116073	0.0365169	0.201382	0.12163	0.0106701	0.0546067	0.188143	1.482876
1908	-427.2714	-439.2693	11.99791	0.10477	0.0802961	0.111288	0.0766189	0.0236155	0.0303086	0.0215252	0.119467	0.0517142	0.0399755	0.332426	0.087299	0.0636409	0.0689606	0.348779	0.883784	0.941527	0.981378	1.01898	1.0621	1.1315	0.08932963	0.0671306	0.0514493	0.0713071	0.0490931	0.0151315	0.0194201	0.0137922	0.0765479	0.0331356	0.0256141	0.213	0.0559364	0.0407775	0.0441861	0.223479	1.560684
1944	-428.4329	-440.1988	11.7659	0.171677	0.0103804	0.0427624	0.00220939	0.00488559	0.00597933	0.0318967	0.160497	0.0759472	0.0472763	0.166535	0.109442	0.0740718	0.0409464	0.191026	0.307107	0.562277	0.835582	1.19677	1.77848	3.25619	0.8536251	0.151187	0.00914141	0.0376585	0.00194569	0.00430247	0.00526567	0.0280897	0.141341	0.0668826	0.0416337	0.146658	0.0963792	0.065231	0.0360592	0.168226	1.135531
1980	-431.546	-443.4216	11.87563	0.128526	0.00120389	0.0336075	0.0614102	0.0069772	0.0164911	0.00871644	0.0567727	0.0353837	0.0633827	0.181737	0.046933	0.0796792	0.01814	0.107988	0.241351	0.499938	0.805503	1.24146	2.00025	4.14335	1.027846	0.151752	0.00142144	0.0396806	0.0725075	0.00823805	0.0194712	0.0102916	0.067032	0.0417778	0.0748365	0.214578	0.0554142	0.094078	0.021418	0.127503	0.8469489
