Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length
0	-428.4916	-440.2618	11.77018	0.223434	0.0117824	0.0989319	0.0247551	0.0179558	0.011568	0.0542925	0.145348	0.0477546	0.0247846	0.0514366	0.16842	0.0425381	0.0998485	0.160856	0.333255	0.585137	0.846035	1.18198	1.709	3.0007	0.7945413	0.188758	0.00995383	0.0835781	0.0209132	0.0151691	0.00977267	0.0458665	0.12279	0.0403433	0.0209382	0.0434539	0.142282	0.0359364	0.0843524	0.135892	1.183706
36	-428.6501	-440.042	11.3919	0.136406	0.0723536	0.141021	0.0447327	0.0618106	0.0380142	0.00679816	0.0412686	0.086503	0.0566182	0.0464577	0.390306	0.109226	0.130812	0.407221	0.572559	0.761883	0.918653	1.08855	1.31254	1.74655	0.403212	0.0770852	0.0408881	0.0796934	0.0252792	0.0349301	0.0214824	0.00384175	0.0233216	0.0488842	0.0319958	0.026254	0.220568	0.0617253	0.073924	0.230127	1.769549
72	-426.7262	-438.5081	11.78189	0.0927161	0.0508441	0.0738693	0.0273964	0.0301053	0.0169747	0.00648907	0.0757666	0.0387451	0.0289672	0.0339061	0.15773	0.00391697	0.102151	0.235072	0.248541	0.507148	0.80911	1.23593	1.97181	4.02347	1.006617	0.0951277	0.0521666	0.0757906	0.0281089	0.0308883	0.0174162	0.00665785	0.0777372	0.0397529	0.0297206	0.0347879	0.161833	0.00401884	0.104808	0.241186	0.9746498
108	-433.2126	-445.4158	12.20318	0.0635604	0.0333443	0.0156497	0.0116707	0.00845838	0.0131558	0.00853067	0.0536022	0.0325299	0.0184553	0.00299152	0.133551	0.0227019	0.0602966	0.151964	0.313782	0.568203	0.83832	1.19286	1.75993	3.18693	0.838079	0.100816	0.0528888	0.0248226	0.0185113	0.0134162	0.0208669	0.0135308	0.0850206	0.0515969	0.0292726	0.00474496	0.21183	0.0360083	0.0956388	0.241035	0.6304616
144	-426.5871	-438.2666	11.67957	0.0751759	0.0338995	0.0609054	0.00445397	0.00212087	0.0149278	0.0041504	0.0661146	0.0108275	0.00554373	0.0123954	0.131929	0.0350094	0.0692451	0.0651195	0.149178	0.395379	0.748644	1.33575	2.52922	6.70342	1.375724	0.127025	0.0572803	0.102912	0.0075259	0.00358364	0.0252236	0.00701296	0.111714	0.0182954	0.00936729	0.0209447	0.222922	0.0591557	0.117004	0.110033	0.5918181
180	-427.1069	-438.8822	11.77531	0.117391	0.0519599	0.0719836	0.0217626	0.00290647	0.0504452	0.0249689	0.0826663	0.0645849	0.0428341	0.0329432	0.17848	0.0204258	0.106545	0.134829	0.256638	0.515139	0.813066	1.22991	1.94122	3.89653	0.9834369	0.116839	0.0517156	0.0716451	0.0216603	0.0028928	0.0502079	0.0248514	0.0822775	0.0642812	0.0426326	0.0327882	0.17764	0.0203298	0.106044	0.134195	1.004725
216	-429.5073	-440.5541	11.04678	0.0241198	0.0210083	0.0187225	0.00287947	0.00363897	0.00358711	0.00202581	0.0167166	0.0230958	0.00608709	0.0150671	0.0560038	0.0125648	0.0367954	0.0542792	0.0714383	0.276096	0.6693	1.4941	3.62194	13.9981	1.908122	0.0813232	0.0708324	0.0631253	0.00970854	0.0122693	0.0120944	0.0068303	0.0563623	0.0778706	0.0205234	0.0508008	0.188825	0.0423641	0.124061	0.18301	0.2965918
252	-428.4894	-440.1861	11.69674	0.0469592	0.00321195	0.0502142	0.00113353	0.00221054	0.00535323	0.025387	0.0193942	0.0295647	0.0222148	0.0888056	0.0949484	0.0743792	0.0220767	0.0188549	0.149627	0.395959	0.748987	1.33514	2.52552	6.6833	1.37355	0.0930422	0.00636397	0.0994915	0.0022459	0.00437984	0.0106066	0.0503003	0.0384265	0.0585778	0.0440151	0.175954	0.188125	0.147371	0.0437416	0.037358	0.504708
288	-431.0008	-443.0336	12.03275	0.0540905	0.00119705	0.0695941	0.0241186	0.000880296	0.00783427	0.0299706	0.0524354	0.0492272	0.0155818	0.0887271	0.0975204	0.110452	0.0239671	0.0295064	0.25167	0.510251	0.810651	1.23358	1.95982	3.97345	0.9975717	0.082568	0.00182726	0.106234	0.0368165	0.00134375	0.0119588	0.0457495	0.0800415	0.0751442	0.0237852	0.13544	0.148863	0.168603	0.0365852	0.0450408	0.6551029
324	-431.264	-442.6769	11.41282	0.131445	0.0373595	0.0558104	0.124724	0.00664699	0.00615629	0.00626786	0.213469	0.0156343	0.0732863	0.0721625	0.211908	0.0511921	0.00491091	0.426503	0.313554	0.568002	0.838227	1.19299	1.76056	3.18924	0.8386038	0.0914414	0.0259896	0.0388253	0.0867658	0.00462407	0.00428271	0.00436032	0.148502	0.0108762	0.0509827	0.0502009	0.147417	0.0356125	0.00341635	0.296703	1.437475
