Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length
0	-428.5641	-440.5771	12.01295	0.112476	0.0251037	0.113937	0.0288842	0.0185572	0.0222528	0.00591749	0.0992742	0.0203136	0.052387	0.00652586	0.0324337	0.145938	0.132849	0.0589758	0.301771	0.55749	0.833356	1.19997	1.79375	3.31377	0.866299	0.128423	0.0286629	0.130091	0.0329795	0.0211883	0.0254078	0.00675647	0.113349	0.0231937	0.0598145	0.0074511	0.0370322	0.166629	0.151685	0.0673375	0.8758246
36	-427.0371	-438.992	11.95486	0.137887	0.134194	0.0920131	0.00381545	0.00361144	0.0488123	0.0452949	0.10658	0.0887689	0.122834	0.0225995	0.0503751	0.180445	0.341391	0.0617484	0.667033	0.820798	0.94025	1.06355	1.21833	1.49918	0.2927824	0.09573	0.0931666	0.0638815	0.00264893	0.0025073	0.0338887	0.0314467	0.073995	0.0616292	0.0852795	0.0156901	0.0349737	0.125277	0.237016	0.0428698	1.440371
72	-436.9795	-447.6392	10.65975	0.0106181	0.0127293	0.0147497	0.00883989	0.0016923	0.00324662	0.00523294	0.00913502	0.00513492	0.00531085	0.011012	0.0209324	0.0189403	0.0202002	0.00998372	0.0682126	0.269943	0.664611	1.50464	3.70448	14.6601	1.941531	0.067306	0.0806888	0.0934954	0.0560344	0.0107272	0.0205797	0.0331706	0.0579052	0.0325493	0.0336645	0.0698029	0.132687	0.120059	0.128045	0.0632849	0.1577582
108	-428.5297	-440.5629	12.03312	0.0675116	0.0177575	0.0611266	0.00196397	0.00165511	0.0168421	0.0271147	0.0842472	0.0520593	0.0253961	0.00256021	0.125526	0.0314242	0.0534197	0.0960935	0.253423	0.511982	0.811508	1.23227	1.95319	3.94597	0.9925523	0.101567	0.0267151	0.0919615	0.00295467	0.00249002	0.025338	0.0407925	0.126745	0.0783202	0.0382069	0.00385169	0.188847	0.0472759	0.0803669	0.144567	0.6646979
144	-431.6778	-443.4587	11.78083	0.159666	0.0412133	0.124553	0.0293505	5.70511e-05	0.0180254	0.0749388	0.164382	0.0641747	0.0204604	0.0340334	0.155645	0.0286465	0.0728931	0.133154	0.306666	0.561883	0.835399	1.19703	1.77973	3.26087	0.8546636	0.142407	0.0367584	0.111089	0.0261779	5.08843e-05	0.016077	0.0668385	0.146613	0.0572378	0.0182488	0.0303547	0.138821	0.02555	0.0650139	0.118761	1.121193
180	-424.6994	-436.4938	11.79445	0.0928832	0.015252	0.082522	0.0192265	0.00434733	0.0172431	0.00885281	0.0904879	0.0150063	0.00493746	0.0254384	0.171845	0.0369163	0.106228	0.138731	0.211657	0.468932	0.789573	1.26651	2.13251	4.72462	1.122772	0.111919	0.0183777	0.099434	0.0231668	0.00523827	0.0207769	0.0106671	0.109032	0.0180816	0.00594934	0.0306517	0.207063	0.0444819	0.127998	0.167163	0.8299173
216	-428.2735	-440.1409	11.8674	0.121313	0.047943	0.0700927	0.0247422	0.0242515	0.00810257	0.021988	0.0459229	0.00111852	0.0481752	0.0166938	0.126195	0.0486457	0.0689482	0.162594	0.235897	0.494397	0.802707	1.24578	2.02267	4.23913	1.044371	0.144985	0.0572983	0.0837702	0.0295703	0.0289838	0.00968365	0.0262785	0.054884	0.00133678	0.0575758	0.0199513	0.15082	0.0581381	0.0824023	0.194322	0.8367266
252	-426.7565	-438.2422	11.48569	0.0730547	0.0535524	0.0523323	0.029461	0.000748333	0.0143423	0.00313218	0.0405804	0.0460585	0.0732	0.220317	0.151437	0.078223	0.0514388	0.319297	0.23351	0.49195	0.801466	1.24771	2.03273	4.28247	1.051726	0.0605171	0.0443618	0.0433511	0.0244049	0.000619905	0.0118809	0.00259464	0.0336161	0.038154	0.0606375	0.182506	0.125447	0.0647984	0.0426109	0.264499	1.207174
288	-426.4267	-438.1694	11.74263	0.13558	0.0203751	0.08303	0.0107141	0.0018816	0.00896366	0.0111438	0.0945245	0.0613642	0.050344	0.0679047	0.328539	0.0510315	0.237966	0.0160109	0.318587	0.572431	0.840261	1.19011	1.74694	3.13886	0.827089	0.11496	0.0172762	0.0704017	0.00908457	0.00159542	0.00760036	0.00944891	0.080148	0.0520312	0.0426871	0.0575769	0.278571	0.04327	0.201773	0.0135757	1.179374
324	-427.8919	-439.9305	12.03862	0.0433055	0.0393565	0.0550133	0.029452	0.0111502	0.0210137	0.0161156	0.107474	0.0354119	0.113452	0.0371152	0.049639	0.14554	0.0485131	0.0200562	0.279526	0.537055	0.823703	1.21403	1.86201	3.57748	0.9216668	0.056051	0.0509399	0.0712047	0.0381203	0.014432	0.0271984	0.0208587	0.139105	0.0458343	0.146843	0.0480388	0.0642486	0.188375	0.0627913	0.0259591	0.7726081
